NO	TICKER	WEBSITE	TWITTER	SPO Group in adapools.org?	POOL ID
67	MOST	https://www.mostaking.com/	@mostakingc	yes	4b4e09f1acb8957ecff8c36091b9a6dedce48c9df8f64d7744d2b080
68	MUGGY 	https://twitter.com/Muggy_Pool	@muggy_pool	yes	4044aa415dec3609dcab41faa19b643719b9521ef16eb35945a64bd9
69	MUSE	https://www.musestakepool.io/	@tryanjones_muse	yes	926b65d00c21aa1fb19e44faa2293e342578ed6a80aca4a551191a70
70	NEAT 	https://www.neatstaking.com/	@neatstaking	yes	9c84327ad8de82f858801d2f699e55a5714dca44cf589718c4588541
71	NEP	https://voyager-stakepool.com/	@poolvoyager	yes	ef603340ac08cbe1cbe003821a2272e15612b50b86c0066e043dc64e
72	NODO	https://cardanodo.com/	@nodopool	yes	20c00ebe39ed12dbd2f3e84a5b57b85c972d1039cf79c70d893b6227
73	ONE	https://red-sky.one/	@enigma_spo	yes	3805681d8d4bc9c7f298c24fdeca3406849e2db84a0708718d96d0b2
74	OYSTR	https://twitter.com/OystrPool	@oystrpool	yes	febb924e349d816997e007dc09847ded9a2e72d218023c0e5186176d
75	PANL	https://www.panl.org/	@panl_stakepool	yes	05e11c24a4de15366c6d548f8847589164d02260b6a059a08c22be2a
76	PECHY	https://peachypool.io/	@peachypool	yes	b7dcd684b724061fbb76ef4f78b7541a0a058ab7b860ef71828e5e19
77	PEGA	https://pegasuspool.info/	@pegasuspool	yes	bbbe8bd9d3942563c7cf02e2d605516fb8376e3a49689d9b028cc2ab
78	PIADA	https://piada.io/	@piada_stakepool	yes	b8d8742c7b7b512468448429c776b3b0f824cef460db61aa1d24bc65
79	PIGGY	http://piggy.trendingpools.com/	@ada_piggy	yes	2595f0a5ff4145f3d6ee09e81c2488bdfe2079004eda635a6dce1515
80	PLUTO 	https://www.plutostakepool.com/	@plutostakepool	yes	6255693643d2dcb804bb89effd50d8ea743bbae07ad62a3b5174ff25
81	POOLS	https://adapools.org/	@adapools_pools	no	c3798f717a40ee027583dee28161a9a812d84ade635d8310b878e892
82	QCPOL	https://qcpol.stakepool.quebec/	@qcpolstakepool	yes	c2b8bff5160dd75149f2cae0955698550e8cf0d390025b26a9508a3e
83	QXT 	https://quixote.systems/	@quixotepool	yes	351a90a0253fb3595ccc460438b9947cd8a0b9a7f457f3478bbb31d8
84	REDH	https://redhorsepool.com/	@redhpool	yes	9539696ef32ea50fef0dd5a24dca2c9c931706532c3a3bdbdbf31766
85	RIGHT	https://rightstakepool.com/		yes	5370e250fa08c07881085a59d339a1240ad7561f513b71b64491a001
86	RISE	https://risecardano.com/	@risecardano	yes	1e4f8dc9672d16131da6533287e32ea100b34d67543ff7c7358c7b5e
87	RSV	https://reservoir.network/	@rsvnode	yes	1be0613ee44270f56b5fbb71f667528e1d877d77d349dd7324d50869
88	SAGAN	https://adapools.org/pool/www.saganpool.com	@saganpool	yes	387c1f515894d2511d1e791161e69882ddb427ab1701b7af719a8c9f
89	SBC	https://sbc-pool.tk/	@miningsbc	yes	406a08532d2ca8dd08ea39e082dc8acdc2a3b34d0c517bd0e40af5e1
90	SHARE 	https://share-pool.com/	@share_pool	yes	ea7cdd8918204b6c53e41ac6b0c319a1ffa95312660eeeb2ced8be3a
91	SIPO	https://sipo.tokyo/	@sipo_tokyo	no	76bfa1b2e6593740c3388ed881cbe851dbab8d8741652c9bad16cc94
92	SQRL	https://adasquirrel.com/	@adasquirrel	yes	c9a397b8aa1d963030999d4edfd0f809f290f9899c73dfa1ad3a6d70
93	SRN 	https://www.adasrn.com/	@adasrn1	yes	cc1b1c03798884c636703443a23b8d9e827d6c0417921600394198a0
